"Action","Animation","ScienceFiction","Horror","Fantasy","Family","Adventure","Comedy","Crime","Romance","Drama","Thriller","War","Western","Mystery","Music","Documentary","History","TVMovie","title","year","rating","budget","revenue","runtime"
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Mother/Android",2021,58,0,0,111
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Naruto Shippuden the Movie",2007,72,2.9e+07,0,94
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"Old",2021,65,1.8e+07,90112510,108
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"Miraculous World: New York, United HeroeZ",2020,83,0,0,55
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Antlers",2021,64,0,18312201,99
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,"Hacksaw Ridge",2016,82,4e+07,175302354,139
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Wrath of Man",2021,77,4e+07,103966489,119
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Harry Potter and the Chamber of Secrets",2002,77,1e+08,876688482,161
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Harry Potter and the Goblet of Fire",2005,78,1.5e+08,895921036,157
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"After We Collided",2020,73,0,4.2e+07,105
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"A Quiet Place Part II",2021,76,6.1e+07,297372261,97
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"The Last Duel",2021,75,1e+08,30500000,153
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Apex",2021,54,0,0,108
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"After",2019,72,1.4e+07,69497587,106
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Don't Breathe 2",2021,74,1e+07,4.5e+07,98
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Boruto: Naruto the Movie",2015,76,0,40200000,95
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Back to the Outback",2021,77,0,0,92
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Harry Potter and the Prisoner of Azkaban",2004,80,1.3e+08,789804554,141
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Monster Hunter",2020,68,6e+07,42145959,104
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"No Manches Frida 2",2019,80,0,0,102
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Shrek",2001,77,6e+07,487853320,90
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Your Name.",2016,85,0,357986087,106
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Ciao Alberto",2021,76,45223,0,7
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Monsters, Inc.",2001,78,1.15e+08,579707738,92
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,"Black Water: Abyss",2020,52,0,0,98
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"The Forever Purge",2021,72,1.8e+07,76994245,103
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Wonder Woman 1984",2020,66,2e+08,165160005,151
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Pokemon the Movie: Mewtwo Strikes Back - Evolution",2019,67,0,26654184,98
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"John Wick: Chapter 3 - Parabellum",2019,74,5.5e+07,326709727,130
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Army of Thieves",2021,69,0,0,127
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Tom & Jerry",2021,70,5e+07,1.32e+08,101
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Halloween Kills",2021,67,2e+07,131647155,105
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson",2019,83,0,0,90
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"The SpongeBob Movie: Sponge on the Run",2020,76,6e+07,4700000,95
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"It Follows",2014,66,2e+06,14674076,101
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Captain America: Civil War",2016,74,2.5e+08,1153296293,147
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragon Ball Z: Battle of Gods",2013,68,0,50461371,85
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Deadpool 2",2018,75,1.1e+08,786365638,119
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"An Egg Rescue",2021,80,0,3500000,88
0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"The Lion King",2019,71,2.6e+08,1667635327,118
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Soul",2020,82,1.5e+08,136384442,101
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Nobody",2021,82,1.7e+07,61779301,92
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"The Hobbit: The Battle of the Five Armies",2014,73,2.5e+08,956019788,144
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The Simpsons: The Good, the Bart, and the Loki",2021,75,0,0,6
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Spider-Man: Far From Home",2019,75,1.6e+08,1131927996,129
1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,"Ava",2020,58,0,2987741,96
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Vanguard",2020,63,0,27900000,107
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"My Hero Academia: Two Heroes",2018,80,1.2e+07,31478826,96
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Shrek 2",2004,72,1.5e+08,928760770,93
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"The Marksman",2021,70,2.3e+07,23076711,108
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Titanic",1997,79,2e+08,2187463944,194
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"It Chapter Two",2019,69,7.9e+07,473122525,169
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Fast & Furious Presents: Hobbs & Shaw",2019,69,2e+08,760098996,137
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Venom",2018,68,1.16e+08,855013954,112
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Boyka: Undisputed IV",2016,70,0,0,87
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Pacific Rim",2013,68,1.8e+08,407602906,131
0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"Spirit Untamed",2021,75,3e+07,17635215,88
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Major Grom: Plague Doctor",2021,67,5e+06,4493306,136
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"The Fate of the Furious",2017,69,2.5e+08,1238764765,136
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Fury",2014,75,6.8e+07,211817906,135
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,"Fifty Shades of Grey",2015,59,4e+07,571006128,125
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012",2009,58,2e+08,791217826,158
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"The Conjuring",2013,75,1.3e+07,319494638,112
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"xXx: Return of Xander Cage",2017,59,8.5e+07,346147658,107
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Monster Pets: A Hotel Transylvania Short",2021,75,0,0,6
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Me Before You",2016,79,2e+07,207945075,110
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"Mulan",2020,69,2e+08,66800000,115
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Frozen II",2019,73,1.5e+08,1450026933,103
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,"Joker",2019,82,5.5e+07,1074251311,122
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"West Side Story",2021,72,1e+08,74530532,157
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,"Given",2020,84,0,0,60
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Gunpowder Milkshake",2021,64,3e+07,344931,114
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"The Harder They Fall",2021,67,0,0,139
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"The Medium",2021,70,0,7230000,131
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Roald Dahl's The Witches",2020,65,0,26900000,106
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"PokÃ©mon Detective Pikachu",2019,70,1.5e+08,433005346,105
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"The Help",2011,82,2.5e+07,216639112,146
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"The Conjuring 2",2016,73,4e+07,320392818,134
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragon Ball Z: Broly â Second Coming",1994,67,0,24200000,48
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"The Last Mercenary",2021,67,0,0,110
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"Encounter",2021,65,0,0,108
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"The Karate Kid",2010,65,4e+07,359126022,140
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"The Vault",2021,70,0,0,118
0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Weathering with You",2019,81,0,186965409,112
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragon Ball Z: Broly â The Legendary Super Saiyan",1993,72,0,21658982,70
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Iron Man 3",2013,69,2e+08,1214811252,130
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Grown Ups",2010,63,8e+07,271430189,102
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Wish Dragon",2021,81,0,25860000,99
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Taken 3",2014,62,4.8e+07,325771424,109
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"Interstellar",2014,84,1.65e+08,701729206,169
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Tom Clancy's Without Remorse",2021,71,0,0,109
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Army of the Dead",2021,63,0,780000,148
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Home Sweet Home Alone",2021,51,0,0,93
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragon Ball Z: Bio-Broly",1994,58,0,19500000,50
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"The Proposal",2009,71,4e+07,317375031,108
1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"Naruto Shippuden the Movie: Blood Prison",2011,72,0,0,108
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"A Silent Voice: The Movie",2016,84,0,30156463,130
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Grown Ups 2",2013,61,8e+07,247022278,101
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sweet Girl",2021,68,0,0,110
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Evangelion: 3.0+1.0 Thrice Upon a Time",2021,84,0,92246218,155
1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"Furious 7",2015,72,1.9e+08,1515047671,137
1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"How I Became a Superhero",2020,62,1.8e+07,0,101
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"AINBO: Spirit of the Amazon",2021,71,0,7877742,84
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Injustice",2021,77,0,0,78
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"The Kissing Booth 3",2021,71,0,0,112
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spider-Man",2002,72,1.39e+08,821708551,121
0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,"Toy Story 4",2019,76,1.75e+08,1073394593,100
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Wrong Turn",2021,60,0,3777969,110
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Aquaman",2018,69,1.6e+08,1148528393,143
1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Despicable Me 3",2017,64,8e+07,1031552585,96
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"Malignant",2021,69,4e+07,24640084,111
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Peter Rabbit 2: The Runaway",2021,72,4.5e+07,1.53e+08,93
