"","x"
"63","tick, tick... BOOM!       (2021)+78.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h"
"64","Raiders of the Lost Ark       (1981)+79.0+Adventure, Action+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$389,925,971.00+1h 55m"
"65","Resident Evil: Damnation       (2012)+68.0+Animation, Horror, Action+OriginalTitleBiohazard:DamnationStatusReleasedOriginalLanguageEnglishBudget-Revenue$2,325,035.00+1h 40m"
"66","Bruised       (2021)+70.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$11,000,000.00Revenue-+2h 9m"
"67","Predator 2       (1990)+62.0+Science Fiction, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$57,120,318.00+1h 48m"
"68","Afterlife of the Party       (2021)+69.0+Fantasy, Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 49m"
"69","Spy       (2015)+68.0+Action, Comedy, Crime+StatusReleasedOriginalLanguageEnglishBudget$65,000,000.00Revenue$235,666,219.00+2h"
"70","Dolittle       (2020)+67.0+Family, Fantasy, Adventure+StatusReleasedOriginalLanguageEnglishBudget$175,000,000.00Revenue$245,692,007.00+1h 41m"
"71","The Babysitters       (2008)+59.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$44,852.00+1h 28m"
"72","The Ugly Truth       (2009)+65.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$38,000,000.00Revenue$321,682,600.00+1h 36m"
"73","Antebellum       (2020)+63.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$7,060,384.00+1h 45m"
"74","Barbie Fairytopia: Magic of the Rainbow       (2007)+68.0+Animation, Family, Fantasy, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 15m"
"75","Disobedience       (2017)+70.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$6,000,000.00Revenue-+1h 54m"
"76","Antz       (1998)+61.0+Adventure, Animation, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$171,757,863.00+1h 23m"
"77","Kiki's Delivery Service       (1989)+78.0+Animation, Family, Fantasy, Adventure+OriginalTitle魔女の宅急便StatusReleasedOriginalLanguageJapaneseBudget$6,900,000.00Revenue$4,493,017.00+1h 43m"
"78","Alvin and the Chipmunks: The Road Chip       (2015)+60.0+Adventure, Animation, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$90,000,000.00Revenue$233,755,553.00+1h 32m"
"79","Men of Honor       (2000)+74.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$82,343,495.00Revenue$48,814,909.00+2h 9m"
"80","Tad, the Lost Explorer       (2012)+60.0+Animation, Comedy, Adventure, Family+OriginalTitleLasaventurasdeTadeoJonesStatusReleasedOriginalLanguageSpanish;CastilianBudget$10,500,000.00Revenue$23,000,000.00+1h 30m"
"81","The Lego Movie 2: The Second Part       (2019)+67.0+Action, Adventure, Animation, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$99,000,000.00Revenue$192,456,290.00+1h 46m"
"82","Sinbad: Legend of the Seven Seas       (2003)+69.0+Family, Animation, Adventure, Comedy, Fantasy, Action+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$80,767,884.00+1h 30m"
"83","War of the Worlds       (2005)+65.0+Adventure, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$132,000,000.00Revenue$603,873,119.00+1h 57m"
"84","The 5th Wave       (2016)+59.0+Science Fiction, Adventure, Action+StatusReleasedOriginalLanguageEnglishBudget$38,000,000.00Revenue$109,906,372.00+1h 52m"
"85","Heat       (1995)+79.0+Action, Crime, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$187,436,818.00+2h 50m"
"86","Underwater       (2020)+63.0+Action, Horror, Science Fiction, Thriller+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$40,882,928.00+1h 35m"
"87","City of God       (2002)+84.0+Drama, Crime+OriginalTitleCidadedeDeusStatusReleasedOriginalLanguagePortugueseBudget$3,300,000.00Revenue$30,641,770.00+2h 10m"
"88","Happy Death Day       (2017)+66.0+Horror, Mystery, Comedy+StatusReleasedOriginalLanguageEnglishBudget$4,800,000.00Revenue$125,479,266.00+1h 37m"
"89","The Gangster, the Cop, the Devil       (2019)+77.0+Crime, Action, Adventure+OriginalTitle악인전StatusReleasedOriginalLanguageKoreanBudget-Revenue$24,945,497.00+1h 50m"
"90","Son of the Mask       (2005)+42.0+Fantasy, Comedy, Family, Adventure+StatusReleasedOriginalLanguageEnglishBudget$84,000,000.00Revenue-+1h 34m"
"91","The Heist of the Century       (2020)+78.0+Comedy, Thriller, Crime+OriginalTitleElrobodelsigloStatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+1h 54m"
"92","Underworld: Evolution       (2006)+66.0+Fantasy, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$111,476,513.00+1h 46m"
"93","Instant Family       (2018)+76.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$48,000,000.00Revenue$14,700,000.00+1h 58m"
"94","The Mitchells vs. the Machines       (2021)+80.0+Animation, Adventure, Comedy+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue-+1h 50m"
"95","The Guilty       (2021)+64.0+Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 31m"
"96","The Forgotten Battle       (2021)+72.0+War, History, Drama+OriginalTitleDeSlagomdeScheldeStatusReleasedOriginalLanguageDutch;FlemishBudget$14,000,000.00Revenue-+2h 4m"
"97","Flushed Away       (2006)+62.0+Adventure, Animation, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$149,000,000.00Revenue$178,120,010.00+1h 25m"
"98","Bram Stoker's Dracula       (1992)+74.0+Romance, Horror+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$215,862,692.00+2h 8m"
"99","5 Centimeters per Second       (2007)+73.0+Animation, Drama, Romance+OriginalTitle秒速5センチメートルStatusReleasedOriginalLanguageJapaneseBudget$5,000,000.00Revenue-+1h 3m"
"100","Freedom Writers       (2007)+79.0+Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget$21,000,000.00Revenue$43,095,175.00+2h 3m"
"101","The Goonies       (1985)+75.0+Adventure, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$19,000,000.00Revenue$61,389,680.00+1h 54m"
