"","x"
"24","Shoplifters       (2018)+79.0+Drama+OriginalTitle万引き家族StatusReleasedOriginalLanguageJapaneseBudget-Revenue-+2h 1m"
"25","Demolition       (2016)+68.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue$4,366,460.00+1h 41m"
"26","Australia       (2008)+66.0+Adventure, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$130,000,000.00Revenue$211,787,511.00+2h 45m"
"27","Tunnel       (2016)+73.0+Thriller, Drama, Action+OriginalTitle터널StatusReleasedOriginalLanguageKoreanBudget$1,000,000.00Revenue-+2h 6m"
"28","The Last Stand       (2013)+60.0+Action, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue-+1h 47m"
"29","Good Morning, Vietnam       (1987)+74.0+Comedy, Drama, War+StatusReleasedOriginalLanguageEnglishBudget$13,000,000.00Revenue$123,922,370.00+2h 1m"
"30","Dead Man Down       (2013)+61.0+Thriller, Action, Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$18,074,539.00+1h 58m"
"31","Minari       (2021)+74.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$2,000,000.00Revenue$12,886,100.00+1h 55m"
"32","American Factory       (2019)+72.0+Documentary+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 50m"
"33","The Guilty       (2018)+73.0+Drama, Thriller+OriginalTitleDenskyldigeStatusReleasedOriginalLanguageDanishBudget-Revenue-+1h 26m"
"34","The Extraordinary Adventures of AdÃ¨le Blanc-Sec       (2010)+61.0+Fantasy, Adventure, Action, Mystery+OriginalTitleLesAventuresextraordinairesd'AdÃ¨leBlanc-SecStatusReleasedOriginalLanguageFrenchBudget$25,000,000.00Revenue$34,100,000.00+1h 45m"
"35","Carlito's Way       (1993)+78.0+Crime, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$63,848,322.00+2h 24m"
"36","Jackie       (2016)+64.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$9,000,000.00Revenue$13,960,394.00+1h 40m"
"37","Kikujiro       (1999)+75.0+Comedy, Drama, Family+OriginalTitle菊次郎の夏StatusReleasedOriginalLanguageJapaneseBudget-Revenue-+1h 57m"
"38","In Bruges       (2008)+75.0+Comedy, Drama, Crime+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$34,533,783.00+1h 48m"
"39","The Best of Enemies       (2019)+74.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue-+2h 13m"
"40","Animal House       (1978)+70.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$2,700,000.00Revenue$141,000,000.00+1h 49m"
"41","The Perfection       (2018)+65.0+Horror, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 30m"
"42","The Girl in the Fog       (2017)+68.0+Crime, Thriller, Mystery+OriginalTitleLaragazzanellanebbiaStatusReleasedOriginalLanguageItalianBudget-Revenue-+2h 8m"
"43","Black Snake Moan       (2006)+69.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$10,907,485.00+1h 56m"
"44","Gangster Squad       (2013)+63.0+Crime, Drama, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$105,200,903.00+1h 53m"
"45","The One and Only Ivan       (2020)+75.0+Family, Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 33m"
"46","The Captive       (2014)+59.0+Drama, Thriller, Crime+StatusReleasedOriginalLanguageEnglishBudget-Revenue$1,075,178.00+1h 52m"
"47","A Madea Family Funeral       (2019)+59.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue$46,115,383.00+1h 44m"
"48","Green Room       (2015)+67.0+Horror, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$3,769,214.00+1h 35m"
"49","Let It Snow       (2019)+61.0+Romance, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 33m"
"50","Innerspace       (1987)+68.0+Action, Comedy, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$27,000,000.00Revenue$25,893,810.00+2h"
"51","Things Heard & Seen       (2021)+58.0+Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h 1m"
"52","Out of Sight       (1998)+67.0+Romance, Comedy, Crime+StatusReleasedOriginalLanguageEnglishBudget$48,000,000.00Revenue$77,745,966.00+2h 3m"
"53","Little Italy       (2018)+68.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 42m"
"54","Belle's Magical World       (1998)+62.0+Animation, Family+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 32m"
"55","Solaris       (1972)+79.0+Drama, Science Fiction, Mystery+OriginalTitleСолярисStatusReleasedOriginalLanguageRussianBudget-Revenue-+2h 47m"
"56","The Night Eats the World       (2018)+60.0+Drama, Horror, Thriller+OriginalTitleLaNuitadévorélemondeStatusReleasedOriginalLanguageFrenchBudget-Revenue-+1h 34m"
"57","The Aftermath       (2019)+64.0+War, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 48m"
"58","Before Sunset       (2004)+78.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$2,700,000.00Revenue$15,992,615.00+1h 20m"
"59","48 Hrs.       (1982)+67.0+Thriller, Action, Comedy, Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget$12,000,000.00Revenue$78,868,508.00+1h 36m"
"60","Elisa & Marcela       (2019)+74.0+Drama, Romance+OriginalTitleElisayMarcelaStatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+1h 58m"
"61","Eraserhead       (1977)+75.0+Fantasy, Horror+StatusReleasedOriginalLanguageEnglishBudget$100,000.00Revenue$7,000,000.00+1h 29m"
"62","Ein verborgenes Leben       (2019)+71.0+Drama, War, History+StatusReleasedOriginalLanguageGermanBudget$9,000,000.00Revenue$4,612,788.00+2h 54m"
"63","Never Look Away       (2018)+78.0+Drama, Thriller, Romance+OriginalTitleWerkohneAutorStatusReleasedOriginalLanguageGermanBudget-Revenue$4,831,836.00+3h 9m"
"64","Titan A.E.       (2000)+66.0+Animation, Action, Science Fiction, Family, Adventure+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue$36,754,634.00+1h 34m"
"65","Summer of 85       (2020)+74.0+Romance, Drama+OriginalTitleÉté85StatusReleasedOriginalLanguageFrenchBudget$6,900,000.00Revenue$3,600,000.00+1h 41m"
"66","Gretel & Hansel       (2020)+60.0+Horror, Fantasy, Thriller+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$22,059,211.00+1h 27m"
"67","Arlington Road       (1999)+70.0+Crime, Drama, Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget$21,500,000.00Revenue-+1h 57m"
"68","Rich in Love       (2020)+78.0+Comedy, Romance+OriginalTitleRicosdeAmorStatusReleasedOriginalLanguagePortugueseBudget-Revenue-+1h 44m"
"69","Double Team       (1997)+51.0+Action, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$48,138,337.00+1h 33m"
"70","Money Monster       (2016)+64.0+Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget$27,000,000.00Revenue$93,282,604.00+1h 38m"
"71","The Map of Tiny Perfect Things       (2021)+72.0+Fantasy, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 39m"
"72","Ran       (1985)+81.0+Action, Drama, History+OriginalTitle乱StatusReleasedOriginalLanguageJapaneseBudget$11,500,005.00Revenue$11,859,533.00+2h 40m"
"73","Rabid       (1977)+64.0+Horror, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$530,000.00Revenue-+1h 31m"
"74","The Last Thing He Wanted       (2020)+49.0+Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 56m"
"75","Good Time       (2017)+72.0+Thriller, Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$3,283,369.00+1h 42m"
"76","The Vanishing       (2019)+56.0+Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 48m"
"77","Avengement       (2019)+68.0+Crime, Action+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 30m"
"78","The Hand that Rocks the Cradle       (1992)+69.0+Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$11,700,000.00Revenue$88,036,683.00+1h 50m"
"79","The Hunter       (2011)+66.0+Drama, Thriller, Adventure+StatusReleasedOriginalLanguageEnglishBudget-Revenue$176,669.00+1h 42m"
"80","What We Do in the Shadows       (2014)+76.0+Comedy, Horror+StatusReleasedOriginalLanguageEnglishBudget$1,600,000.00Revenue$6,263,224.00+1h 26m"
"81","Three Colors: White       (1994)+75.0+Comedy, Drama, Mystery+OriginalTitleTroiscouleurs:BlancStatusReleasedOriginalLanguageFrenchBudget-Revenue-+1h 32m"
"82","Annie       (1982)+65.0+Comedy, Drama, Family+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$57,059,003.00+2h 7m"
"83","The Fast and the Furious: Tokyo Drift       (2006)+64.0+Action, Crime, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$85,000,000.00Revenue$158,468,292.00+1h 44m"
"84","The Last Castle       (2001)+71.0+Action, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$72,000,000.00Revenue$27,642,707.00+2h 11m"
"85","The Ladykillers       (2004)+61.0+Comedy, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$76,700,000.00+1h 44m"
"86","A Taxi Driver       (2017)+81.0+Action, Drama, History+OriginalTitle택시운전사StatusReleasedOriginalLanguageKoreanBudget$12,820,005.00Revenue$81,927,980.00+2h 18m"
"87","Heidi       (2015)+71.0+Adventure, Family+StatusReleasedOriginalLanguageGermanBudget$8,800,000.00Revenue-+1h 51m"
"88","Rose Island       (2020)+71.0+Comedy, Adventure+OriginalTitleL'incredibilestoriadell'isoladelleroseStatusReleasedOriginalLanguageItalianBudget$8,000,000.00Revenue-+2h"
"89","Official Secrets       (2019)+72.0+Thriller, History, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 52m"
"90","10x10       (2018)+53.0+Thriller+OriginalTitle10x10StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 26m"
"91","Gabriel's Inferno: Part II       (2020)+85.0+Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 45m"
"92","Dirty Harry       (1971)+75.0+Action, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$4,000,000.00Revenue$35,976,000.00+1h 42m"
"93","Wildlife       (2018)+66.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$3,097,257.00+1h 45m"
"94","Sea Fever       (2020)+63.0+Science Fiction, Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 35m"
"95","Striking Distance       (1993)+58.0+Crime, Action, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 42m"
"96","Darkman       (1990)+64.0+Action, Science Fiction, Thriller+StatusReleasedOriginalLanguageEnglishBudget$16,000,000.00Revenue$48,878,502.00+1h 36m"
"97","The Adventures of Ichabod and Mr. Toad       (1949)+65.0+Horror, Fantasy, Animation, Family+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 8m"
"98","Sunshine       (2007)+70.0+Science Fiction, Thriller, Horror+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$34,806,812.00+1h 47m"
"99","The Road       (2009)+70.0+Adventure, Drama+StatusReleasedOriginalLanguageEnglishBudget$32,000,000.00Revenue$27,635,305.00+1h 51m"
"100","The Wicker Man       (1973)+74.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$810,000.00Revenue-+1h 34m"
"101","Save the Last Dance       (2001)+66.0+Drama, Family, Romance, Music+StatusReleasedOriginalLanguageEnglishBudget$13,000,000.00Revenue$131,706,809.00+1h 53m"
"102","Mary Queen of Scots       (2018)+66.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$37,807,625.00+2h 4m"
"103","Into the Labyrinth       (2019)+64.0+Thriller, Mystery+OriginalTitleL'uomodellabirintoStatusReleasedOriginalLanguageItalianBudget$4,000,000.00Revenue$2,514,679.00+2h 10m"
"104","Heroic Losers       (2019)+77.0+Comedy, Thriller+OriginalTitleLaodiseadelosgilesStatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue$7,364,054.00+1h 56m"
"105","Deep Rising       (1998)+62.0+Adventure, Action, Horror, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$45,000,000.00Revenue$11,203,026.00+1h 46m"
"106","Please Stand By       (2018)+69.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 33m"
"107","Black Rain       (1989)+66.0+Action, Thriller, Crime+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$134,212,055.00+2h 5m"
"108","Isle of Dogs       (2018)+79.0+Adventure, Comedy, Animation+StatusReleasedOriginalLanguageEnglishBudget$62,770,198.00Revenue$64,241,499.00+1h 41m"
"109","Billionaire Boys Club       (2018)+56.0+Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 48m"
"110","A Long Way Down       (2014)+62.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$7,176,347.00+1h 36m"
"111","The Kite Runner       (2007)+73.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$73,276,047.00+2h 8m"
"112","Tolkien       (2019)+70.0+War, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$8,654,322.00+1h 52m"
"113","High Fidelity       (2000)+72.0+Comedy, Drama, Romance, Music+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$47,126,295.00+1h 53m"
"114","Slither       (2006)+65.0+Horror, Science Fiction, Comedy+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$12,834,936.00+1h 35m"
"115","Jin-Roh: The Wolf Brigade       (1999)+74.0+Animation, Science Fiction, Thriller, Drama+OriginalTitle人狼JIN-ROHStatusReleasedOriginalLanguageJapaneseBudget-Revenue-+1h 42m"
"116","My Fair Lady       (1964)+76.0+Romance, Drama, Music+StatusReleasedOriginalLanguageEnglishBudget$17,000,000.00Revenue$72,661,442.00+2h 50m"
"117","All Good Things       (2010)+60.0+Drama, Mystery, Thriller, Crime, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue$1,754,389.00+1h 41m"
"118","Sorry to Bother You       (2018)+68.0+Fantasy, Science Fiction, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 52m"
"119","2 Hearts       (2020)+77.0+Romance, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 40m"
"120","Double Jeopardy       (1999)+65.0+Thriller+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$177,841,558.00+1h 45m"
"121","Dangerous Minds       (1995)+69.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$23,000,000.00Revenue$179,519,401.00+1h 39m"
"122","T-34       (2018)+71.0+War, Action, Drama, History+OriginalTitleТ-34StatusReleasedOriginalLanguageRussianBudget$8,000,000.00Revenue$36,220,872.00+2h 19m"
"123","Two Brothers       (2004)+71.0+Adventure, Drama, Family+OriginalTitleDeuxFrèresStatusReleasedOriginalLanguageEnglishBudget$74,500,000.00Revenue$62,172,050.00+1h 49m"
"124","Can You Ever Forgive Me?       (2018)+68.0+Drama, Crime, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue$8,586,944.00+1h 47m"
"125","Pathfinder       (2007)+57.0+Adventure, Action+StatusReleasedOriginalLanguageEnglishBudget$45,000,000.00Revenue$30,822,861.00+1h 39m"
"126","Perfect Sense       (2011)+69.0+Drama, Science Fiction, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue$138,868.00+1h 33m"
"127","Les MisÃ©rables       (1998)+72.0+Crime, Drama, History, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue$14,096,321.00+2h 14m"
"128","The Monster       (2016)+55.0+Horror, Drama+StatusReleasedOriginalLanguageEnglishBudget$2,700,000.00Revenue-+1h 31m"
"129","The Sun Is Also a Star       (2019)+70.0+Romance, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$1,040,000.00+1h 40m"
"130","12 Feet Deep       (2017)+55.0+Thriller, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue$6,158.00+1h 25m"
"131","The Mustang       (2019)+70.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$1,144,575.00+1h 36m"
"132","The Captain       (2017)+72.0+War, Drama, History+OriginalTitleDerHauptmannStatusReleasedOriginalLanguageGermanBudget-Revenue-+1h 58m"
"133","Summer of 84       (2018)+69.0+Thriller, Mystery, Drama, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 45m"
"134","Belle       (2013)+72.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$10,900,000.00Revenue$16,505,460.00+1h 45m"
"135","Father of the Bride Part II       (1995)+62.0+Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget-Revenue$76,594,107.00+1h 46m"
"136","Galveston       (2018)+61.0+Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 31m"
"137","Forbidden Planet       (1956)+73.0+Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$1,900,000.00Revenue$3,250,000.00+1h 38m"
"138","Where Hands Touch       (2018)+80.0+War, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue$128,269.00+2h 2m"
"139","The Great Hack       (2019)+68.0+Documentary+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 54m"
"140","Satanic       (2016)+42.0+Horror, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue$349,183.00+1h 24m"
"141","BlacKkKlansman       (2018)+75.0+Comedy, Crime, Drama, History+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$93,400,823.00+2h 15m"
"142","Hotel for Dogs       (2009)+61.0+Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$117,000,198.00+1h 40m"
"143","Love       (2015)+64.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$3,000,000.00Revenue$249,083.00+2h 14m"
"144","The Bride       (2017)+59.0+Mystery, Horror, Thriller+OriginalTitleНевестаStatusReleasedOriginalLanguageRussianBudget$1,500,000.00Revenue$6,945,256.00+1h 30m"
"145","The Assistant       (2020)+65.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$1,338,881.00+1h 28m"
"146","Fool's Gold       (2008)+57.0+Romance, Comedy, Adventure+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$111,231,041.00+1h 52m"
"147","Blazing Saddles       (1974)+73.0+Western, Comedy+StatusReleasedOriginalLanguageEnglishBudget$2,600,000.00Revenue$119,500,000.00+1h 33m"
"148","Nothing to Hide       (2018)+65.0+Drama, Comedy+OriginalTitleLeJeuStatusReleasedOriginalLanguageFrenchBudget$8,500,000.00Revenue-+1h 33m"
"149","Some Kind of Wonderful       (1987)+69.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue$18,553,948.00+1h 35m"
"150","Bad Company       (2002)+54.0+Action, Adventure, Comedy, Thriller+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$65,977,295.00+1h 56m"
"151","Synchronic       (2020)+63.0+Science Fiction, Drama, Thriller, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue$1,019,041.00+1h 41m"
"152","Isi & Ossi       (2020)+69.0+Romance, Comedy+StatusReleasedOriginalLanguageGermanBudget-Revenue-+1h 53m"
"153","Snake Eyes       (1998)+61.0+Thriller, Crime, Mystery+StatusReleasedOriginalLanguageEnglishBudget$73,000,000.00Revenue$103,891,409.00+1h 38m"
"154","American Murder: The Family Next Door       (2020)+73.0+Documentary, Mystery, Crime+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 23m"
"155","A Fall from Grace       (2020)+71.0+Drama, Fantasy, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h"
"156","Always Be My Maybe       (2019)+66.0+Romance, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 41m"
"157","The Vast of Night       (2019)+66.0+Mystery, Science Fiction, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 31m"
"158","The Kitchen       (2019)+62.0+Drama, Crime, Action+StatusReleasedOriginalLanguageEnglishBudget$38,000,000.00Revenue-+1h 42m"
"159","Bullet Head       (2017)+49.0+Drama, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue$87,465.00+1h 33m"
"160","Seven Psychopaths       (2012)+68.0+Comedy, Crime+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$33,035,736.00+1h 50m"
"161","Smokey and the Bandit       (1977)+69.0+Action, Adventure, Comedy+StatusReleasedOriginalLanguageEnglishBudget$4,300,000.00Revenue$126,737,428.00+1h 36m"
"162","Anchorman: The Legend of Ron Burgundy       (2004)+67.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$26,000,000.00Revenue$90,574,188.00+1h 35m"
"163","A Night at the Roxbury       (1998)+66.0+Comedy, Music, Romance+StatusReleasedOriginalLanguageEnglishBudget$17,000,000.00Revenue$30,331,165.00+1h 21m"
"164","Conquest of the Planet of the Apes       (1972)+61.0+Action, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$1,700,000.00Revenue$9,700,000.00+1h 28m"
"165","Flightplan       (2005)+64.0+Thriller, Drama, Mystery+StatusReleasedOriginalLanguageEnglishBudget$55,000,000.00Revenue$223,387,299.00+1h 38m"
"166","The Breadwinner       (2017)+79.0+Animation, War, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$312,381.00+1h 34m"
"167","Never Let Me Go       (2010)+69.0+Drama, Romance, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$9,918,093.00+1h 44m"
"168","Casanova       (2005)+65.0+Adventure, Comedy, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue$37,691,644.00+1h 52m"
"169","Little White Lies       (2010)+71.0+Comedy, Drama+OriginalTitleLesPetitsMouchoirsStatusReleasedOriginalLanguageFrenchBudget$25,000,000.00Revenue$48,531,470.00+2h 34m"
"170","Boys       (2014)+77.0+Drama+OriginalTitleJongensStatusReleasedOriginalLanguageDutch;FlemishBudget-Revenue-+1h 18m"
"171","Little Women       (1994)+73.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$50,083,616.00+1h 55m"
"172","Love Wedding Repeat       (2020)+57.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 40m"
"173","A Dangerous Method       (2011)+63.0+Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$27,462,041.00+1h 39m"
"174","My Neighbors the Yamadas       (1999)+70.0+Animation, Family+OriginalTitleホーホケキョとなりの山田くんStatusReleasedOriginalLanguageJapaneseBudget-Revenue-+1h 44m"
"175","Work It       (2020)+77.0+Comedy, Music+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 33m"
"176","Open Your Eyes       (1997)+75.0+Drama, Thriller, Science Fiction+OriginalTitleAbrelosojosStatusReleasedOriginalLanguageSpanish;CastilianBudget$2,900,000.00Revenue$368,234.00+1h 57m"
"177","Happy Together       (1997)+76.0+Drama, Romance+OriginalTitle春光乍洩StatusReleasedOriginalLanguageChineseBudget$125,000.00Revenue-+1h 36m"
"178","The Swimming Pool       (1969)+70.0+Crime, Drama+OriginalTitleLaPiscineStatusReleasedOriginalLanguageFrenchBudget-Revenue-+2h 3m"
