"","x"
"24","A Wrinkle in Time       (2018)+51.0+Adventure, Science Fiction, Family, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$103,000,000.00Revenue$132,675,864.00+1h 49m"
"25","Survivor       (2015)+56.0+Crime, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue-+1h 36m"
"26","Le Chef       (2012)+62.0+Comedy+OriginalTitleCommeunchefStatusReleasedOriginalLanguageFrenchBudget-Revenue$306,724.00+1h 24m"
"27","Miss Bala       (2019)+64.0+Action+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$15,200,000.00+1h 44m"
"28","Butch Cassidy and the Sundance Kid       (1969)+76.0+Western, Drama, Crime+StatusReleasedOriginalLanguageEnglishBudget$6,000,000.00Revenue$102,308,889.00+1h 51m"
"29","The Girl in the Spider's Web       (2018)+61.0+Action, Crime, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget$43,000,000.00Revenue$35,164,920.00+1h 55m"
"30","Premonition       (2007)+63.0+Thriller, Drama, Mystery+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$84,146,832.00+1h 36m"
"31","The Postcard Killings       (2020)+66.0+Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 41m"
"32","Battle for Sevastopol       (2015)+74.0+Drama, War, Romance+OriginalTitleБитвазаСевастопольStatusReleasedOriginalLanguageRussianBudget$5,000,000.00Revenue-+1h 50m"
"33","Ip Man 4: The Finale       (2019)+72.0+Action, Drama, History+OriginalTitle葉問4StatusReleasedOriginalLanguageCantoneseBudget$52,000,000.00Revenue-+1h 47m"
"34","Twins       (1988)+60.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$216,614,388.00+1h 47m"
"35","Dedicated to my ex       (2019)+84.0+Drama, Comedy+OriginalTitleDedicadaAMiExStatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+1h 34m"
"36","2:22       (2017)+60.0+Drama, Thriller, Romance, Science Fiction, Mystery+StatusReleasedOriginalLanguageEnglishBudget-Revenue$3,945,729.00+1h 39m"
"37","Primal Fear       (1996)+77.0+Crime, Drama, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$102,616,183.00+2h 9m"
"38","IO       (2019)+49.0+Science Fiction+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 36m"
"39","The Machinist       (2004)+75.0+Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$8,203,235.00+1h 41m"
"40","Mara       (2018)+57.0+Crime, Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$470,901.00+1h 40m"
"41","Elektra       (2005)+50.0+Action, Fantasy, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$43,000,000.00Revenue$56,681,566.00+1h 37m"
"42","Battle for the Planet of the Apes       (1973)+57.0+Action, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$1,700,000.00Revenue$8,844,595.00+1h 33m"
"43","Before Sunrise       (1995)+80.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$2,500,000.00Revenue$5,987,386.00+1h 41m"
"44","Rim of the World       (2019)+60.0+Science Fiction, Adventure, Action, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 39m"
"45","Feel the Beat       (2020)+77.0+Comedy, Music, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 47m"
"46","Can You Keep a Secret?       (2019)+66.0+Romance, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 34m"
"47","Area 51       (2015)+47.0+Horror, Thriller, Science Fiction, Mystery+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$7,556.00+1h 31m"
"48","The Queen's Corgi       (2019)+60.0+Family, Animation+StatusReleasedOriginalLanguageEnglishBudget-Revenue$35,515,687.00+1h 25m"
"49","MouseHunt       (1997)+65.0+Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$38,000,000.00Revenue$122,417,389.00+1h 38m"
"50","211       (2018)+54.0+Crime, Action, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$1,052,222.00+1h 26m"
"51","Asterix: The Secret of the Magic Potion       (2018)+69.0+Family, Animation, Comedy, Adventure+OriginalTitleAstérix-LeSecretdelaPotionMagiqueStatusReleasedOriginalLanguageFrenchBudget-Revenue$45,631,901.00+1h 25m"
"52","Dragged Across Concrete       (2018)+65.0+Crime, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$660,132.00+2h 39m"
"53","The Boy Next Door       (2015)+48.0+Thriller+StatusReleasedOriginalLanguageEnglishBudget$4,000,000.00Revenue$52,425,855.00+1h 31m"
"54","The Informer       (2019)+65.0+Drama, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue$2,602,652.00+1h 49m"
"55","Day of the Woman       (1978)+59.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$650,000.00Revenue-+1h 41m"
"56","City of Lies       (2018)+64.0+Crime, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$2,534,122.00+1h 52m"
"57","Fallen Angels       (1995)+77.0+Action, Romance, Crime+OriginalTitle墮落天使StatusReleasedOriginalLanguageCantoneseBudget-Revenue-+1h 38m"
"58","Carol       (2015)+75.0+Romance, Drama+StatusReleasedOriginalLanguageEnglishBudget$11,800,000.00Revenue$40,272,135.00+1h 58m"
"59","Last Action Hero       (1993)+64.0+Adventure, Fantasy, Action, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$85,000,000.00Revenue$137,298,489.00+2h 10m"
"60","Valkyrie       (2008)+69.0+Drama, Thriller, History, War+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue$200,276,000.00+2h 1m"
"61","The Witches       (1990)+69.0+Adventure, Fantasy, Horror, Family+StatusReleasedOriginalLanguageEnglishBudget-Revenue$15,360,553.00+1h 31m"
"62","Last Christmas       (2019)+73.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$121,550,750.00+1h 42m"
"63","Bill & Ted Face the Music       (2020)+60.0+Comedy, Science Fiction, Adventure+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue-+1h 32m"
"64","Fast Five       (2011)+72.0+Action, Thriller, Crime+StatusReleasedOriginalLanguageEnglishBudget$125,000,000.00Revenue$626,137,675.00+2h 10m"
"65","Bad Times at the El Royale       (2018)+68.0+Thriller, Drama, Mystery, Crime+StatusReleasedOriginalLanguageEnglishBudget$32,000,000.00Revenue$31,882,724.00+2h 21m"
"66","Oh, Ramona!       (2019)+57.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 49m"
"67","What's Your Number?       (2011)+65.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$30,426,096.00+1h 46m"
"68","Stuber       (2019)+67.0+Action, Comedy+StatusReleasedOriginalLanguageEnglishBudget$16,000,000.00Revenue$32,400,000.00+1h 33m"
"69","Serenity       (2019)+54.0+Thriller, Mystery, Drama+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$14,454,622.00+1h 42m"
"70","In the Line of Fire       (1993)+70.0+Action, Drama, Thriller, Crime, Mystery+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$176,997,168.00+2h 8m"
"71","Needful Things       (1993)+62.0+Drama, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue$15,185,672.00+2h"
"72","Entrapment       (1999)+62.0+Romance, Drama, Mystery+StatusReleasedOriginalLanguageEnglishBudget$66,000,000.00Revenue$212,404,396.00+1h 52m"
"73","Surrogates       (2009)+61.0+Science Fiction, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$80,000,000.00Revenue$122,444,772.00+1h 29m"
"74","The Sum of All Fears       (2002)+63.0+Thriller, Action, Drama+StatusReleasedOriginalLanguageEnglishBudget$68,000,000.00Revenue$193,921,372.00+2h 4m"
"75","Hop       (2011)+57.0+Animation, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$63,000,000.00Revenue$183,953,723.00+1h 35m"
"76","Brain on Fire       (2017)+71.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 28m"
"77","Office Space       (1999)+74.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue$10,827,810.00+1h 30m"
"78","The 15:17 to Paris       (2018)+54.0+Thriller, History, Drama+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$57,076,286.00+1h 34m"
"79","Captain Phillips       (2013)+76.0+Action, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$55,000,000.00Revenue$218,791,811.00+2h 14m"
"80","Sound of Metal       (2020)+78.0+Drama, Music+StatusReleasedOriginalLanguageEnglishBudget-Revenue$516,520.00+2h 1m"
"81","Stand by Me       (1986)+79.0+Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget$8,000,000.00Revenue$52,287,414.00+1h 29m"
"82","The Dirty Dozen       (1967)+76.0+Action, Adventure, War+StatusReleasedOriginalLanguageEnglishBudget$5,400,000.00Revenue$45,300,000.00+2h 30m"
"83","Crimson Tide       (1995)+72.0+War, Thriller, Action, Drama+StatusReleasedOriginalLanguageEnglishBudget$53,000,000.00Revenue$157,387,195.00+1h 56m"
"84","The Cloverfield Paradox       (2018)+56.0+Horror, Science Fiction, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$45,000,000.00Revenue-+1h 42m"
"85","Come Play       (2020)+63.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$9,000,000.00Revenue$8,119,285.00+1h 36m"
"86","The Dry       (2020)+68.0+Crime, Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget-Revenue$17,424,378.00+1h 57m"
"87","Groundhog Day       (1993)+76.0+Romance, Fantasy, Drama, Comedy+StatusReleasedOriginalLanguageEnglishBudget$14,600,000.00Revenue$71,074,049.00+1h 41m"
"88","Non-Stop       (2014)+68.0+Action, Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$222,809,600.00+1h 46m"
"89","The Dressmaker       (2015)+70.0+Drama, Comedy, Western+StatusReleasedOriginalLanguageEnglishBudget$11,930,000.00Revenue$25,003,426.00+1h 58m"
"90","Andhadhun       (2018)+77.0+Crime, Thriller, Comedy+OriginalTitleअंधाधुनStatusReleasedOriginalLanguageHindiBudget$4,500,000.00Revenue$40,000,000.00+2h 19m"
"91","2067       (2020)+51.0+Science Fiction, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 54m"
"92","The Last Emperor       (1987)+76.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget$23,000,000.00Revenue$43,984,230.00+2h 43m"
"93","The Eyes of Tammy Faye       (2021)+66.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget-Revenue$2,404,127.00+2h 6m"
"94","The Upside       (2019)+71.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget$37,500,000.00Revenue$111,353,135.00+2h 6m"
"95","Notorious       (2009)+69.0+Music, Drama, History+StatusReleasedOriginalLanguageEnglishBudget-Revenue$43,051,547.00+2h 2m"
"96","The Trial of the Chicago 7       (2020)+78.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$107,423.00+2h 10m"
"97","24 Hours to Live       (2017)+59.0+Action, Science Fiction, Thriller, Mystery+OriginalTitle24HoursToLiveStatusReleasedOriginalLanguageEnglishBudget-Revenue$5,805,201.00+1h 34m"
"98","Executive Decision       (1996)+62.0+Action, Adventure, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$55,000,000.00Revenue$121,969,216.00+2h 13m"
"99","The Saint       (1997)+61.0+Thriller, Action, Romance, Science Fiction, Adventure+StatusReleasedOriginalLanguageEnglishBudget$68,000,000.00Revenue$118,063,304.00+1h 56m"
"100","Safe House       (2012)+64.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$85,000,000.00Revenue$208,076,205.00+1h 55m"
"101","Mune: Guardian of the Moon       (2015)+73.0+Animation, Family, Adventure, Fantasy, Comedy+OriginalTitleMune,legardiendelaluneStatusReleasedOriginalLanguageFrenchBudget-Revenue$15,730,665.00+1h 26m"
"102","Cube       (1997)+68.0+Thriller, Science Fiction, Mystery+StatusReleasedOriginalLanguageEnglishBudget$350,000.00Revenue$8,969,065.00+1h 30m"
"103","The Night Before       (2015)+61.0+Comedy, Adventure, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$52,395,996.00+1h 41m"
"104","Wolfwalkers       (2020)+84.0+Animation, Family, Adventure, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$12,000,000.00Revenue$229,041.00+1h 43m"
"105","Push       (2009)+61.0+Science Fiction, Action+StatusReleasedOriginalLanguageEnglishBudget$38,000,000.00Revenue$49,678,401.00+1h 51m"
"106","Layer Cake       (2004)+70.0+Drama, Thriller, Crime+StatusReleasedOriginalLanguageEnglishBudget$6,500,000.00Revenue$11,850,214.00+1h 45m"
"107","The Secret Garden       (2020)+64.0+Family, Fantasy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$889,816.00+1h 39m"
"108","The Witcher: Nightmare of the Wolf       (2021)+77.0+Animation, Action, Fantasy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 23m"
"109","Fright Night       (1985)+71.0+Comedy, Horror+StatusReleasedOriginalLanguageEnglishBudget$9,000,000.00Revenue$24,922,237.00+1h 46m"
"110","Like a Boss       (2020)+64.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$29,000,000.00Revenue$26,925,979.00+1h 23m"
"111","Hubie Halloween       (2020)+60.0+Comedy, Mystery, Horror+StatusReleasedOriginalLanguageEnglishBudget$14,000,000.00Revenue-+1h 43m"
"112","Singin' in the Rain       (1952)+82.0+Comedy, Music, Romance+StatusReleasedOriginalLanguageEnglishBudget$2,540,800.00Revenue$7,200,000.00+1h 43m"
"113","Seven Pounds       (2008)+76.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$55,000,000.00Revenue$168,167,691.00+2h 3m"
"114","Breaking In       (2018)+60.0+Thriller, Crime, Action, Horror+StatusReleasedOriginalLanguageEnglishBudget$6,000,000.00Revenue$49,078,000.00+1h 28m"
"115","Spawn       (1997)+53.0+Action, Adventure, Fantasy, Horror, Science Fiction, Thriller+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$87,840,042.00+1h 36m"
"116","Anchorman 2: The Legend Continues       (2013)+61.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$173,649,015.00+1h 59m"
"117","Stardust       (2007)+72.0+Adventure, Fantasy, Romance, Family+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$135,560,026.00+2h 7m"
"118","Glory       (1989)+75.0+Drama, History, War+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$26,828,365.00+2h 2m"
"119","The Half of It       (2020)+72.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 44m"
"120","Coyote Ugly       (2000)+63.0+Comedy, Drama, Music, Romance+StatusReleasedOriginalLanguageEnglishBudget$45,000,000.00Revenue$113,916,474.00+1h 40m"
"121","Life of the Party       (2018)+62.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$61,700,416.00+1h 45m"
"122","Paradise Hills       (2019)+60.0+Fantasy, Science Fiction, Thriller+StatusReleasedOriginalLanguageEnglishBudget$6,000,000.00Revenue-+1h 35m"
"123","Empire of the Sun       (1987)+75.0+Drama, History, War+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$66,700,000.00+2h 33m"
"124","Just a Breath Away       (2018)+63.0+Drama, Science Fiction, Thriller+OriginalTitleDanslabrumeStatusReleasedOriginalLanguageFrenchBudget$13,749,400.00Revenue$2,842,040.00+1h 30m"
"125","The Immortal       (2019)+67.0+Crime, Drama, Thriller+OriginalTitleL'ImmortaleStatusReleasedOriginalLanguageItalianBudget-Revenue-+1h 55m"
"126","The Omen       (1976)+74.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$2,800,000.00Revenue$60,922,980.00+1h 51m"
"127","Wallace & Gromit: The Curse of the Were-Rabbit       (2005)+70.0+Adventure, Animation, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$192,610,372.00+1h 25m"
"128","Breakfast at Tiffany's       (1961)+77.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$2,500,000.00Revenue$9,500,000.00+1h 54m"
"129","Showgirls       (1995)+55.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$45,000,000.00Revenue$20,350,754.00+2h 11m"
"130","Assassination Nation       (2018)+63.0+Thriller, Horror, Comedy+StatusReleasedOriginalLanguageEnglishBudget$7,000,000.00Revenue$2,900,000.00+1h 48m"
"131","Taking Lives       (2004)+64.0+Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$45,000,000.00Revenue$65,470,529.00+1h 43m"
"132","Survival of the Dead       (2010)+49.0+Comedy, Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$4,000,000.00Revenue-+1h 30m"
"133","Race       (2016)+72.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$24,804,129.00+2h 14m"
"134","Frantz       (2016)+74.0+History, Drama, Romance+StatusReleasedOriginalLanguageFrenchBudget-Revenue$7,478,354.00+1h 53m"
"135","OSS 117: From Africa with Love       (2021)+57.0+Comedy, Adventure, Action+OriginalTitleOSS117:AlerterougeenAfriquenoireStatusReleasedOriginalLanguageFrenchBudget$20,400,000.00Revenue$13,450,000.00+1h 57m"
"136","Charlotte's Web       (2006)+62.0+Comedy, Family, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$85,000,000.00Revenue$144,000,000.00+1h 37m"
"137","American Pastoral       (2016)+61.0+Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 48m"
"138","The Night Clerk       (2020)+61.0+Thriller, Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 30m"
"139","The Rescuers       (1977)+68.0+Fantasy, Family, Animation, Adventure+StatusReleasedOriginalLanguageEnglishBudget$1,200,000.00Revenue$71,215,869.00+1h 18m"
"140","Beautiful Boy       (2018)+75.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$7,649,973.00+2h 1m"
"141","Max Payne       (2008)+53.0+Crime, Action, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$85,416,905.00+1h 40m"
"142","Backdraft       (1991)+67.0+Crime, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue$152,368,585.00+2h 17m"
"143","Marvel One-Shot: All Hail the King       (2014)+68.0+Action, Comedy, Fantasy, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+14m"
"144","Miss Americana       (2020)+80.0+Documentary, Music+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 25m"
"145","Zero Dark Thirty       (2012)+70.0+Thriller, Drama, History+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$132,820,716.00+2h 37m"
"146","To Rome with Love       (2012)+58.0+Romance, Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget$17,000,000.00Revenue$73,244,881.00+1h 51m"
"147","Jerry Maguire       (1996)+69.0+Comedy, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$273,552,592.00+2h 18m"
"148","Ocean Waves       (1993)+63.0+Romance, Animation, Drama+OriginalTitle海がきこえるStatusReleasedOriginalLanguageJapaneseBudget-Revenue-+1h 12m"
"149","Baggio: The Divine Ponytail       (2021)+65.0+Drama+OriginalTitleIlDivinCodinoStatusReleasedOriginalLanguageItalianBudget-Revenue-+1h 31m"
"150","Captive State       (2019)+56.0+Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$5,958,315.00+1h 50m"
"151","Palm Springs       (2020)+73.0+Comedy, Romance, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget-Revenue$164,000.00+1h 30m"
"152","My Octopus Teacher       (2020)+80.0+Documentary+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 24m"
"153","Moulin Rouge!       (2001)+76.0+Drama, Romance, Music+StatusReleasedOriginalLanguageEnglishBudget$52,500,000.00Revenue$179,213,434.00+2h 8m"
"154","Escape Room       (2017)+44.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 21m"
"155","The Jewel of the Nile       (1985)+62.0+Adventure, Action, Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$96,773,200.00+1h 46m"
"156","Under the Skin       (2014)+61.0+Thriller, Science Fiction, Drama+StatusReleasedOriginalLanguageEnglishBudget$13,300,000.00Revenue$5,735,963.00+1h 48m"
"157","Cinderella Man       (2005)+75.0+Romance, Drama, History+StatusReleasedOriginalLanguageEnglishBudget$88,000,000.00Revenue$108,539,911.00+2h 24m"
"158","The Hunt       (2012)+81.0+Drama+OriginalTitleJagtenStatusReleasedOriginalLanguageDanishBudget$3,800,000.00Revenue$18,309,793.00+1h 56m"
"159","Morgan       (2016)+58.0+Horror, Science Fiction, Thriller+StatusReleasedOriginalLanguageEnglishBudget$8,000,000.00Revenue$8,810,591.00+1h 32m"
"160","The First King       (2019)+71.0+History+OriginalTitleIlprimoreStatusReleasedOriginalLanguageLatinBudget-Revenue$2,440,478.00+2h 3m"
"161","Just Married       (2003)+57.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$101,564,935.00+1h 35m"
"162","The Way Back       (2020)+66.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$14,590,514.00+1h 47m"
"163","SuperFly       (2018)+68.0+Action, Crime+StatusReleasedOriginalLanguageEnglishBudget$16,000,000.00Revenue$20,545,116.00+1h 47m"
"164","The Bird with the Crystal Plumage       (1970)+72.0+Horror, Mystery, Thriller+OriginalTitleL'uccellodallepiumedicristalloStatusReleasedOriginalLanguageItalianBudget$500,000.00Revenue-+1h 36m"
"165","32 Malasana Street       (2020)+65.0+Horror+OriginalTitleMalasaña32StatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+1h 44m"
"166","The Wolf's Call       (2019)+76.0+Thriller, Action+OriginalTitleLeChantduloupStatusReleasedOriginalLanguageFrenchBudget$22,400,000.00Revenue$12,652,790.00+1h 55m"
"167","The Numbers Station       (2013)+55.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue-+1h 30m"
"168","Leave No Trace       (2018)+67.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 50m"
"169","Rear Window       (1954)+84.0+Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget$1,000,000.00Revenue$37,034,514.00+1h 52m"
"170","Point Blank       (2019)+61.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 26m"
"171","Powder       (1995)+69.0+Drama, Fantasy, Science Fiction, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 51m"
"172","The Wailing       (2016)+73.0+Horror, Mystery+OriginalTitle곡성StatusReleasedOriginalLanguageKoreanBudget$10,951,000.00Revenue$49,851,770.00+2h 36m"
"173","Music and Lyrics       (2007)+64.0+Comedy, Music, Romance+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$145,896,422.00+1h 45m"
"174","Tully       (2018)+68.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue$15,636,462.00+1h 36m"
"175","Batman: Gotham Knight       (2008)+67.0+Science Fiction, Animation, Action, Adventure+StatusReleasedOriginalLanguageEnglishBudget$3,500,000.00Revenue-+1h 15m"
"176","Come and See       (1985)+83.0+Drama, History, War+OriginalTitleИдиисмотриStatusReleasedOriginalLanguageRussianBudget-Revenue$168,817.00+2h 22m"
