"","x"
"18","Trolls       (2016)+67.0+Family, Animation, Fantasy, Adventure, Comedy, Music+StatusReleasedOriginalLanguageEnglishBudget$125,000,000.00Revenue$346,864,462.00+1h 32m"
"19","Onward       (2020)+78.0+Family, Animation, Adventure, Comedy, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$200,000,000.00Revenue$141,592,359.00+1h 43m"
"20","Life of Pi       (2012)+74.0+Adventure, Drama+StatusReleasedOriginalLanguageEnglishBudget$120,000,000.00Revenue$609,016,565.00+2h 7m"
"21","The Addams Family       (2019)+67.0+Family, Animation, Comedy+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$203,044,905.00+1h 26m"
"22","Rise of the Guardians       (2012)+74.0+Family, Animation, Fantasy, Action, Adventure+StatusReleasedOriginalLanguageEnglishBudget$145,000,000.00Revenue$306,941,670.00+1h 37m"
"23","The Power of the Dog       (2021)+68.0+Drama, Western+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h 8m"
"24","Wolf Children       (2012)+83.0+Animation, Drama, Family, Fantasy+OriginalTitleおおかみこどもの雨と雪StatusReleasedOriginalLanguageJapaneseBudget-Revenue$55,060,661.00+1h 57m"
"25","Lockout       (2012)+59.0+Action, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$32,948,113.00+1h 35m"
"26","Thunder Force       (2021)+56.0+Action, Adventure, Comedy, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 47m"
"27","The Purge: Anarchy       (2014)+67.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$9,000,000.00Revenue$111,928,365.00+1h 44m"
"28","White Snake       (2019)+78.0+Romance, Animation, Fantasy+OriginalTitle白蛇：缘起StatusReleasedOriginalLanguageChineseBudget$11,936,735.00Revenue$61,631,776.00+1h 39m"
"29","The Change-Up       (2011)+61.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$52,000,000.00Revenue$75,450,437.00+1h 52m"
"30","The Shining       (1980)+82.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$19,000,000.00Revenue$44,781,695.00+2h 24m"
"31","Skyline       (2010)+49.0+Science Fiction, Action+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue$66,984,887.00+1h 32m"
"32","Hitman's Wife's Bodyguard       (2021)+68.0+Action, Comedy, Thriller+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$70,060,492.00+1h 57m"
"33","Mary Magdalene       (2018)+64.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget-Revenue$11,710,110.00+2h"
"34","Catch Me If You Can       (2002)+80.0+Drama, Crime+StatusReleasedOriginalLanguageEnglishBudget$52,000,000.00Revenue$352,114,312.00+2h 21m"
"35","G.I. Joe: Retaliation       (2013)+56.0+Science Fiction, Adventure, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$130,000,000.00Revenue$371,876,278.00+1h 50m"
"36","Get Out       (2017)+76.0+Mystery, Thriller, Horror+StatusReleasedOriginalLanguageEnglishBudget$4,500,000.00Revenue$255,407,969.00+1h 44m"
"37","#Alive       (2020)+73.0+Action, Horror, Thriller+OriginalTitle#살아있다StatusReleasedOriginalLanguageKoreanBudget$6,300,000.00Revenue$13,416,285.00+1h 38m"
"38","Gladiator       (2000)+82.0+Action, Drama, Adventure+StatusReleasedOriginalLanguageEnglishBudget$103,000,000.00Revenue$465,361,176.00+2h 35m"
"39","Dragon Ball Z: The History of Trunks       (1993)+75.0+Animation, Action, Science Fiction+OriginalTitleドラゴンボールZ・絶望への反抗!!残された超戦士・悟飯とトランクスStatusReleasedOriginalLanguageJapaneseBudget-Revenue-+48m"
"40","Predator       (1987)+75.0+Science Fiction, Action, Adventure, Thriller+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$98,267,558.00+1h 47m"
"41","Once Upon a Deadpool       (2018)+71.0+Comedy, Action+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 57m"
"42","Mortal Kombat Legends: Scorpion's Revenge       (2020)+82.0+Animation, Action, Fantasy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 20m"
"43","Mission: Impossible III       (2006)+67.0+Adventure, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$150,000,000.00Revenue$397,850,012.00+2h 6m"
"44","Spy Kids 3-D: Game Over       (2003)+51.0+Action, Adventure, Comedy, Family, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$38,000,000.00Revenue$197,011,982.00+1h 24m"
"45","The Great Gatsby       (2013)+74.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$105,000,000.00Revenue$351,040,419.00+2h 23m"
"46","Bee Movie       (2007)+60.0+Family, Animation, Adventure, Comedy+StatusReleasedOriginalLanguageEnglishBudget$150,000,000.00Revenue$287,594,577.00+1h 31m"
"47","Godmothered       (2020)+69.0+Family, Fantasy, Comedy+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 53m"
"48","Battleship       (2012)+58.0+Thriller, Action, Adventure, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$209,000,000.00Revenue$303,025,485.00+2h 11m"
"49","Joseph: King of Dreams       (2000)+66.0+Family, Animation+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 15m"
"50","Jennifer's Body       (2009)+58.0+Comedy, Horror+StatusReleasedOriginalLanguageEnglishBudget$16,000,000.00Revenue$31,556,061.00+1h 42m"
"51","Mirai       (2018)+73.0+Animation, Family, Fantasy, Adventure, Drama+OriginalTitle未来のミライStatusReleasedOriginalLanguageJapaneseBudget-Revenue$27,526,961.00+1h 38m"
"52","A Good Day to Die Hard       (2013)+53.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$92,000,000.00Revenue$304,654,182.00+1h 38m"
"53","Pinocchio       (2019)+66.0+Fantasy, Adventure, Drama+StatusReleasedOriginalLanguageItalianBudget$12,400,000.00Revenue$17,133,446.00+2h 5m"
"54","Annette       (2021)+69.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$15,500,000.00Revenue$3,642,692.00+2h 20m"
"55","Red Dot       (2021)+59.0+Thriller, Horror+StatusReleasedOriginalLanguageSwedishBudget-Revenue-+1h 26m"
"56","Central Intelligence       (2016)+64.0+Action, Comedy, Mystery, Crime+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$216,972,543.00+1h 47m"
"57","A Million Ways to Die in the West       (2014)+60.0+Comedy, Western+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$86,410,000.00+1h 56m"
"58","All the Bright Places       (2020)+77.0+Romance, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 48m"
"59","The Hunger Games       (2012)+72.0+Science Fiction, Adventure, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue$691,210,692.00+2h 22m"
"60","Glass       (2019)+67.0+Thriller, Drama, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$246,941,965.00+2h 9m"
"61","Scoob!       (2020)+72.0+Animation, Family, Comedy, Adventure+StatusReleasedOriginalLanguageEnglishBudget-Revenue$9,430,580.00+1h 34m"
"62","Child's Play 2       (1990)+62.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$13,000,000.00Revenue$35,763,605.00+1h 24m"
"63","Titane       (2021)+65.0+Drama, Thriller, Horror+StatusReleasedOriginalLanguageFrenchBudget$6,600,000.00Revenue$5,115,725.00+1h 48m"
"64","No Sudden Move       (2021)+64.0+Crime, Drama, Mystery+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 55m"
"65","The Call of the Wild       (2020)+76.0+Adventure, Family, Drama+StatusReleasedOriginalLanguageEnglishBudget$109,000,000.00Revenue$107,604,626.00+1h 40m"
"66","My Neighbor Totoro       (1988)+81.0+Fantasy, Animation, Family+OriginalTitleとなりのトトロStatusReleasedOriginalLanguageJapaneseBudget$3,700,000.00Revenue$45,000,000.00+1h 26m"
"67","Alien       (1979)+81.0+Horror, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$11,000,000.00Revenue$104,931,801.00+1h 57m"
"68","Willy Wonka & the Chocolate Factory       (1971)+75.0+Family, Fantasy, Comedy+StatusReleasedOriginalLanguageEnglishBudget$3,000,000.00Revenue$4,000,000.00+1h 40m"
"69","Sherlock Holmes: A Game of Shadows       (2011)+71.0+Adventure, Action, Crime, Mystery+StatusReleasedOriginalLanguageEnglishBudget$125,000,000.00Revenue$334,615,000.00+2h 9m"
"70","The Devil Wears Prada       (2006)+74.0+Comedy, Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$326,551,094.00+1h 49m"
"71","Mission: Impossible       (1996)+69.0+Adventure, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$80,000,000.00Revenue$457,731,198.00+1h 50m"
"72","Doctor Sleep       (2019)+72.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$45,000,000.00Revenue$72,281,712.00+2h 32m"
"73","In This Corner of the World       (2016)+80.0+Drama, Animation, Romance, War, History+OriginalTitleこの世界の片隅にStatusReleasedOriginalLanguageJapaneseBudget-Revenue$19,496,308.00+2h 10m"
"74","Burn the Stage: The Movie       (2018)+86.0+Documentary, Music+OriginalTitle번더스테이지:더무비StatusReleasedOriginalLanguageKoreanBudget-Revenue$20.00+1h 25m"
"75","Swan Song       (2021)+74.0+Drama, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 52m"
"76","Dragonball Evolution       (2009)+28.0+Action, Adventure, Fantasy, Science Fiction, Thriller+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$58,228,460.00+1h 25m"
"77","Sputnik       (2020)+65.0+Science Fiction, Drama, Horror+OriginalTitleСпутникStatusReleasedOriginalLanguageRussianBudget-Revenue-+1h 53m"
"78","To All the Boys: Always and Forever       (2021)+77.0+Romance, Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 55m"
"79","The Handmaiden       (2016)+83.0+Thriller, Drama, Romance+OriginalTitle아가씨StatusReleasedOriginalLanguageKoreanBudget$8,575,000.00Revenue$37,767,206.00+2h 25m"
"80","Goodnight Mommy       (2014)+67.0+Drama, Horror, Thriller, Mystery+OriginalTitleIchseh,IchsehStatusReleasedOriginalLanguageGermanBudget-Revenue$2,193,474.00+1h 40m"
"81","Red Tails       (2012)+65.0+Drama, Action, Adventure, History, War+StatusReleasedOriginalLanguageEnglishBudget$58,000,000.00Revenue$50,365,377.00+2h 5m"
"82","Angel Has Fallen       (2019)+65.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$146,661,977.00+2h 2m"
"83","Your Eyes Tell       (2020)+85.0+Romance, Drama+OriginalTitleきみの瞳が問いかけているStatusReleasedOriginalLanguageJapaneseBudget-Revenue-+2h 3m"
"84","Gemini Man       (2019)+64.0+Science Fiction, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$138,000,000.00Revenue$173,469,516.00+1h 57m"
"85","Ready or Not       (2019)+71.0+Comedy, Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$6,000,000.00Revenue$57,615,777.00+1h 35m"
"86","Marley & Me       (2008)+72.0+Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$242,717,113.00+1h 55m"
"87","Pan's Labyrinth       (2006)+77.0+Fantasy, Drama, War+OriginalTitleEllaberintodelfaunoStatusReleasedOriginalLanguageSpanish;CastilianBudget$19,000,000.00Revenue$83,258,226.00+1h 58m"
"88","Intrusion       (2021)+60.0+Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 33m"
"89","300       (2007)+72.0+Action, Adventure, War+StatusReleasedOriginalLanguageEnglishBudget$65,000,000.00Revenue$422,610,419.00+1h 57m"
"90","Ghostbusters       (2016)+54.0+Action, Fantasy, Comedy+StatusReleasedOriginalLanguageEnglishBudget$144,000,000.00Revenue$229,147,509.00+1h 57m"
"91","3 Idiots       (2009)+80.0+Drama, Comedy+StatusReleasedOriginalLanguageHindiBudget$9,000,000.00Revenue$70,000,000.00+2h 50m"
"92","[REC]       (2007)+72.0+Horror, Mystery+StatusReleasedOriginalLanguageSpanish;CastilianBudget$1,500,000.00Revenue$32,511,655.00+1h 18m"
"93","Midway       (2019)+71.0+War, History, Action, Drama+StatusReleasedOriginalLanguageEnglishBudget$100,000,000.00Revenue$127,420,861.00+2h 18m"
"94","Justice League Dark: Apokolips War       (2020)+83.0+Animation, Action, Adventure, Fantasy, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 30m"
"95","Casper       (1995)+63.0+Fantasy, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$287,928,194.00+1h 40m"
"96","The Road to El Dorado       (2000)+72.0+Family, Adventure, Animation, Comedy, Action+StatusReleasedOriginalLanguageEnglishBudget$95,000,000.00Revenue$76,432,727.00+1h 29m"
"97","Aftermath       (2021)+64.0+Horror, Crime, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 54m"
"98","The Outpost       (2020)+69.0+War, Drama, History, Action+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$2,133,452.00+2h 3m"
"99","War Room       (2015)+78.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget$3,000,000.00Revenue$67,790,117.00+2h"
"100","Bloodshot       (2020)+68.0+Action, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$42,000,000.00Revenue$33,542,457.00+1h 50m"
"101","Snowpiercer       (2013)+69.0+Action, Science Fiction, Drama+StatusReleasedOriginalLanguageKoreanBudget$39,200,000.00Revenue$86,758,912.00+2h 7m"
"102","Pearl Harbor       (2001)+69.0+Action, War, History, Romance, Drama+StatusReleasedOriginalLanguageEnglishBudget$140,000,000.00Revenue$449,220,945.00+3h 3m"
"103","Alvin and the Chipmunks: The Squeakquel       (2009)+56.0+Comedy, Family, Animation, Fantasy, Music+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue$443,140,005.00+1h 28m"
"104","Rolling to You       (2018)+65.0+Comedy, Romance+OriginalTitleToutlemondedeboutStatusReleasedOriginalLanguageFrenchBudget$7,000,000.00Revenue-+1h 47m"
"105","Cherry       (2021)+75.0+Drama, Crime+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue-+2h 20m"
"106","Finding 'Ohana       (2021)+65.0+Action, Adventure, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+2h 3m"
"107","Dora and the Lost City of Gold       (2019)+68.0+Adventure, Comedy, Family, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$49,000,000.00Revenue$119,682,635.00+1h 42m"
"108","BLACKPINK: Light Up the Sky       (2020)+83.0+Documentary, Music+OriginalTitle블랙핑크:세상을밝혀라StatusReleasedOriginalLanguageKoreanBudget-Revenue-+1h 19m"
"109","6 Underground       (2019)+63.0+Action, Thriller, Comedy+StatusReleasedOriginalLanguageEnglishBudget$150,000,000.00Revenue-+2h 8m"
"110","Alvin and the Chipmunks: Chipwrecked       (2011)+57.0+Comedy, Fantasy, Family, Music, Animation+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue$342,695,435.00+1h 27m"
"111","Shutter Island       (2010)+82.0+Drama, Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget$80,000,000.00Revenue$294,800,000.00+2h 18m"
"112","Knives Out       (2019)+79.0+Comedy, Crime, Mystery+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$309,232,797.00+2h 11m"
"113","Truth or Dare       (2018)+60.0+Thriller, Horror+StatusReleasedOriginalLanguageEnglishBudget$3,500,000.00Revenue$95,330,493.00+1h 40m"
"114","Puss in Boots       (2011)+64.0+Animation, Adventure, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$130,000,000.00Revenue$554,987,477.00+1h 30m"
"115","The Fifth Element       (1997)+75.0+Adventure, Fantasy, Action, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$90,000,000.00Revenue$263,920,180.00+2h 6m"
"116","Paranormal Activity 3       (2011)+59.0+Horror, Mystery+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$207,039,844.00+1h 34m"
"117","London Has Fallen       (2016)+61.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$205,754,447.00+1h 39m"
"118","Ella Enchanted       (2004)+64.0+Family, Fantasy, Comedy+StatusReleasedOriginalLanguageEnglishBudget$31,000,000.00Revenue$27,388,767.00+1h 36m"
"119","The Ten Commandments       (1956)+77.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget$13,000,000.00Revenue$122,700,000.00+3h 40m"
"120","Miracle in Cell No. 7       (2019)+83.0+Drama, Comedy, Family+OriginalTitle7.KoğuştakiMucizeStatusReleasedOriginalLanguageTurkishBudget-Revenue$19,289,062.00+2h 12m"
"121","Jeepers Creepers 3       (2017)+49.0+Horror, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget$6,200,000.00Revenue$3,600,000.00+1h 40m"
"122","The Doorman       (2020)+58.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue$307,873.00+1h 37m"
"123","Monsters vs Aliens       (2009)+62.0+Animation, Family, Adventure, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$175,000,000.00Revenue$381,509,870.00+1h 34m"
"124","Casino       (1995)+80.0+Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget$52,000,000.00Revenue$116,112,375.00+2h 59m"
"125","Akira       (1988)+80.0+Animation, Science Fiction, Action+OriginalTitleアキラStatusReleasedOriginalLanguageJapaneseBudget$10,000,000.00Revenue$553,171.00+2h 4m"
"126","Jaws       (1975)+76.0+Horror, Thriller, Adventure+StatusReleasedOriginalLanguageEnglishBudget$7,000,000.00Revenue$470,653,000.00+2h 4m"
"127","Life Is Beautiful       (1997)+85.0+Comedy, Drama+OriginalTitleLavitaèbellaStatusReleasedOriginalLanguageItalianBudget$20,000,000.00Revenue$230,098,753.00+1h 56m"
"128","Straight Outta Compton       (2015)+78.0+Drama, Music, History+StatusReleasedOriginalLanguageEnglishBudget$28,000,000.00Revenue$201,634,991.00+2h 27m"
"129","Hellboy       (2019)+55.0+Fantasy, Action, Adventure, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$44,664,690.00+2h 1m"
"130","Batman       (1989)+72.0+Fantasy, Action+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$411,348,924.00+2h 6m"
"131","The Flu       (2013)+75.0+Action, Drama, Science Fiction+OriginalTitle감기StatusReleasedOriginalLanguageKoreanBudget-Revenue$19,775,853.00+2h 2m"
"132","Hereditary       (2018)+72.0+Horror, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget$10,000,000.00Revenue$80,239,658.00+2h 8m"
"133","Addams Family Values       (1993)+69.0+Comedy, Family, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$47,000,000.00Revenue$48,919,043.00+1h 34m"
"134","Friday the 13th       (2009)+58.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$19,000,000.00Revenue$91,509,154.00+1h 37m"
"135","Bride Wars       (2009)+62.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$115,375,850.00+1h 29m"
"136","Skyscraper       (2018)+63.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$125,000,000.00Revenue$292,351,275.00+1h 42m"
"137","I See You       (2019)+70.0+Thriller, Mystery, Horror, Crime+StatusReleasedOriginalLanguageEnglishBudget$3,000,000.00Revenue-+1h 38m"
"138","Kingsglaive: Final Fantasy XV       (2016)+68.0+Animation, Science Fiction, Action+OriginalTitleキングスグレイブファイナルファンタジーXVStatusReleasedOriginalLanguageJapaneseBudget-Revenue$269,980.00+1h 55m"
"139","Crawl       (2019)+63.0+Thriller, Horror, Action+StatusReleasedOriginalLanguageEnglishBudget$13,500,000.00Revenue$89,203,432.00+1h 28m"
"140","The Legend of Tarzan       (2016)+59.0+Fantasy, Action, Adventure+StatusReleasedOriginalLanguageEnglishBudget$180,000,000.00Revenue$356,743,061.00+1h 49m"
"141","Naruto: Ninja Clash in the Land of Snow       (2004)+72.0+Comedy, Action, Animation, Adventure+OriginalTitle劇場版NARUTO大活劇!雪姫忍法帖だってばよ!!StatusReleasedOriginalLanguageJapaneseBudget-Revenue-+1h 22m"
"142","Scream       (1996)+73.0+Crime, Horror, Mystery+StatusReleasedOriginalLanguageEnglishBudget$14,000,000.00Revenue$173,046,663.00+1h 52m"
"143","Chicken Run       (2000)+67.0+Animation, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$45,000,000.00Revenue$224,834,564.00+1h 24m"
"144","BÄhubali 2: The Conclusion       (2017)+73.0+Action, Adventure, Fantasy+OriginalTitleà°¬à°¾à°¹à±à°¬à°²à°¿2:à°¦à°¿à°à°¨à±à°à±à°²à±à°à°¨à±StatusReleasedOriginalLanguageTeluguBudget$31,000,000.00Revenue$275,947,313.00+2h 48m"
"145","Coach Carter       (2005)+75.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$76,669,806.00+2h 16m"
"146","Gone Girl       (2014)+79.0+Mystery, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget$61,000,000.00Revenue$369,330,363.00+2h 29m"
"147","Transformers: Revenge of the Fallen       (2009)+61.0+Science Fiction, Action, Adventure+StatusReleasedOriginalLanguageEnglishBudget$200,000,000.00Revenue$836,303,693.00+2h 30m"
"148","Boyz n the Hood       (1991)+76.0+Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget$6,500,000.00Revenue$57,504,069.00+1h 52m"
"149","Frankenweenie       (2012)+69.0+Animation, Comedy, Family+StatusReleasedOriginalLanguageEnglishBudget$39,000,000.00Revenue$81,493,846.00+1h 27m"
"150","Escape Plan 2: Hades       (2018)+51.0+Action+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$17,500,000.00+1h 36m"
"151","Mortal Engines       (2018)+62.0+Adventure, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$100,000,000.00Revenue$83,672,673.00+2h 9m"
"152","Passengers       (2016)+69.0+Drama, Romance, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$110,000,000.00Revenue$303,144,152.00+1h 56m"
"153","Scott Pilgrim vs. the World       (2010)+75.0+Action, Comedy, Fantasy, Romance+StatusReleasedOriginalLanguageEnglishBudget$85,000,000.00Revenue$48,000,000.00+1h 52m"
"154","Rambo III       (1988)+61.0+Action, Adventure, Thriller, War+StatusReleasedOriginalLanguageEnglishBudget$63,000,000.00Revenue$189,015,611.00+1h 42m"
"155","Countdown       (2019)+64.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$6,500,000.00Revenue$48,021,766.00+1h 30m"
"156","The Truman Show       (1998)+81.0+Comedy, Drama+StatusReleasedOriginalLanguageEnglishBudget$60,000,000.00Revenue$264,118,201.00+1h 43m"
"157","I, Robot       (2004)+69.0+Action, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$120,000,000.00Revenue$347,234,916.00+1h 55m"
"158","Terminator 3: Rise of the Machines       (2003)+61.0+Action, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$200,000,000.00Revenue$435,000,000.00+1h 49m"
"159","Chemical Hearts       (2020)+75.0+Drama, Romance+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 33m"
"160","Freaks       (2019)+68.0+Science Fiction, Thriller, Drama, Mystery+StatusReleasedOriginalLanguageEnglishBudget-Revenue$333,593.00+1h 45m"
"161","First Blood       (1982)+74.0+Action, Adventure, Thriller, War+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$125,212,904.00+1h 33m"
"162","The Revenant       (2015)+75.0+Western, Drama, Adventure+StatusReleasedOriginalLanguageEnglishBudget$135,000,000.00Revenue$532,950,503.00+2h 37m"
"163","Hidden Figures       (2016)+80.0+Drama, History+StatusReleasedOriginalLanguageEnglishBudget$25,000,000.00Revenue$230,698,791.00+2h 7m"
"164","Greta       (2018)+66.0+Mystery, Thriller, Horror+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 38m"
"165","PAW Patrol: Mighty Pups       (2018)+75.0+Adventure, Animation, Family, Action+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+44m"
"166","Whisper of the Heart       (1995)+79.0+Animation, Drama, Family+OriginalTitle耳をすませばStatusReleasedOriginalLanguageJapaneseBudget-Revenue-+1h 51m"
"167","Hostel       (2005)+59.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$4,800,000.00Revenue$81,979,826.00+1h 34m"
"168","Cursed       (2005)+55.0+Horror, Comedy+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$19,294,901.00+1h 37m"
